time_s,vtk_index,droplet_in_frame,x_min_um,x_max_um,x_centroid_um,L_um,w_um,V_nL,n_cells,V1_nL,c1,V2_nL,c2,V3_nL,c3,dye_closure_err,dye_outside_frac,dye_dry_frac,core_bias_strict,asym_strict
0.235,23519,0,4339.999984949827,6499.999901279807,5591.3093342207,2159.99991632998,560.0000222329982,632.9641662425967,1220,211.47181657765228,0.33409761224397866,206.01855420761038,0.32548217607732555,215.47379545733398,0.34042021167869585,3.987912557031252e-10,0.07235967060045917,0.0010781714603420474,-0.015101703217034745,-0.026735563494418413
0.2375,23769,0,4620.000021532178,6539.999973028898,5699.676586929253,1919.9999514967203,560.0000222329982,635.7277135016565,1100,211.51763059326797,0.3327173349549387,208.09682643377076,0.32733640836192446,216.11325647461783,0.3399462566831369,2.029333033620935e-09,0.064769316317659,0.0008820786370495857,-0.01461227621884098,-0.024422962730850817
0.24,24019,0,4820.00014744699,6619.999883696437,5812.9778043915985,1799.9997362494469,560.0000222329982,636.6252063059397,1020,213.1255789867448,0.33477401911781063,206.960912619006,0.325090666484776,216.53871470018896,0.34013531439741335,7.642392771013597e-10,0.06006180876257418,0.0009218695858814991,-0.019473690349936956,-0.02226482763767612
0.2425,24269,0,5060.00011228025,6739.999866113067,5921.164115622247,1679.999753832817,560.0000222329982,638.6449475903137,940,211.8851556212435,0.33177300849354935,208.685517134358,0.3267629657476416,218.07427483471218,0.34146402575880913,2.1084416482876574e-10,0.053799349363862825,0.0008553453685234752,-0.018842841353333473,-0.022376669110676206
0.355,35519,0,3700.000001117587,5180.000094696879,4522.882304643934,1480.0000935792923,520.0000232434832,498.19538467244143,880,167.7079891044648,0.3366309569783171,130.1991722037837,0.2613415864729224,200.28822336419302,0.4020274565487606,1.7839819061259427e-09,0.07137390213407525,0.0007676702034243999,-0.11619419678834614,-0.08258657185747093
0.3575,35769,0,3980.000037699938,5219.999933615327,4621.497443115359,1239.999895915389,560.0000222329982,501.20862384611837,740,167.797721638946,0.3347861821516931,131.32595283181618,0.26201854194778584,202.08494937535613,0.40319527590052096,1.3179580917184641e-10,0.059691151047017506,0.0005664149088097968,-0.11455166593185862,-0.0768564711286131
0.36,36019,0,4140.000091865659,5300.000077113509,4706.030303147071,1159.9999852478504,600.0000212225132,497.7056130854288,720,169.39462395346547,0.34035104186054194,130.01994290051138,0.261238650885366,198.2910462314519,0.398410307254092,2.2498726569010593e-09,0.0667668440624222,0.0006162238368588597,-0.11735946766330085,-0.074421075743207
0.3625,36269,0,4260.000074282289,5339.999916031957,4784.990192181312,1079.9998417496681,600.0000212225132,501.70061103669457,680,168.9313002521563,0.33671735002092834,131.23771395621227,0.2615857167983666,201.53159682832603,0.4016969331807051,8.439315577110854e-10,0.05942627016275144,0.0005511525497709248,-0.11315204657153816,-0.07195053509772326
0.365,36519,0,4339.999984949827,5420.000059530139,4861.155270163664,1080.0000745803118,640.0000202120282,501.44396216825083,680,169.49711283651277,0.3380180551055094,131.31883168027377,0.26188136977948495,200.62801765146423,0.4001005751150055,2.3034430501015528e-09,0.060566929525060445,0.0006967186475085332,-0.11836976311822456,-0.06254812578525043
0.3675,36769,0,4419.999895617366,5459.9998984485865,4934.991542099366,1040.0000028312206,640.0000202120282,502.29696275525015,660,170.3551260608446,0.3391522121224772,130.88588729023374,0.2605747137555546,201.05594940417177,0.4002730741219683,1.4502599237031139e-09,0.05880270975228474,0.0006882226836013157,-0.11522246163539329,-0.065665486735695
0.37,37019,0,4459.999967366457,5540.000041946769,5007.156459537081,1080.0000745803118,640.0000202120282,502.64552392465964,680,170.7369692624833,0.33967669288958924,131.38973377803907,0.2613964066607957,200.51882088413728,0.398926900449615,4.88589938462382e-10,0.058316029121421066,0.0008336618909352656,-0.11882221974094287,-0.06316672833290493
0.3725,37269,0,4539.999878033996,5619.999952614307,5078.7101680507285,1080.0000745803118,680.0000192015432,503.9004738848915,680,169.43145550081164,0.3362399209402524,132.43551342320157,0.26282077570233536,202.0335049608783,0.4009393033574123,5.563127065798343e-10,0.056031825915658584,0.0008351596964381035,-0.11840758339235907,-0.05604262524894538
0.375,37519,0,4620.000021532178,5699.999863281846,5149.689370701501,1079.9998417496681,680.0000192015432,506.7707236503884,660,170.64044925041563,0.3367212060342643,132.26461750665888,0.2609949851757927,203.86565689331388,0.40228380878994296,9.295966901721037e-10,0.05047484139672958,0.0008057884889436294,-0.1188817476004117,-0.05350915833887493
