counter,config,intervention,P_cont,P_disp,P_out,P_cont_meas,P_disp_meas,P_out_meas,f_droplet,d_droplet,L_droplet,w_droplet,n_droplets,polydispersity,v_droplet,regime,status
0,pressure_driven,0,3200.0,1500.0,0,3200.0,1500.0,0,6.666666666666667,512.6369495396485,619.9999479576945,340.0000096007716,82,0.37482859000242724,22.24501863352008,dripping,ok
1,pressure_driven,0,3200.0,1650.0,0,3200.0,1650.0,0,3.3333333333333335,522.2335215596702,639.9999838322401,340.0000096007716,88,0.34709027707048057,23.079370774323774,dripping,ok
2,pressure_driven,0,3200.0,1800.0,0,3200.0,1800.0,0,6.666666666666667,534.0464942499419,679.9998227506876,340.0000096007716,92,0.31994912586572355,23.999996483325937,dripping,ok
3,pressure_driven,0,3200.0,1950.0,0,3200.0,1950.0,0,10.0,543.7335445360462,699.999975040555,340.0000096007716,96,0.312915324499984,24.532840871673443,dripping,ok
4,pressure_driven,0,3200.0,2100.0,0,3200.0,2100.0,0,10.0,554.630213753263,719.9998944997787,340.0000096007716,103,0.3514158423771092,24.98458339843453,dripping,ok
5,pressure_driven,0,3550.0,1500.0,0,3550.0,1500.0,0,6.666666666666667,495.7168205365719,580.0002254545689,340.0000096007716,82,0.3715548811896218,24.55764381011402,dripping,ok
6,pressure_driven,0,3550.0,1650.0,0,3550.0,1650.0,0,3.3333333333333335,506.6409894773496,619.9998315423727,340.0000096007716,88,0.34342933281624893,25.25395872272272,dripping,ok
7,pressure_driven,0,3550.0,1800.0,0,3550.0,1800.0,0,6.666666666666667,516.5955948093908,639.9999838322401,340.0000096007716,92,0.3163063502743991,25.898301962801977,dripping,ok
8,pressure_driven,0,3550.0,1950.0,0,3550.0,1950.0,0,10.0,527.0870993576184,659.9999032914639,340.0000096007716,96,0.3309039053490075,26.590561169125227,dripping,ok
9,pressure_driven,0,3550.0,2100.0,0,3550.0,2100.0,0,10.0,535.9504093591396,680.0000555813313,340.0000096007716,102,0.33979224108453276,27.405388617395573,dripping,ok
10,pressure_driven,0,3900.0,1500.0,0,3900.0,1500.0,0,6.666666666666667,480.85372133725525,559.9999567493796,340.0000096007716,81,0.34752469842091904,26.5920640798068,dripping,ok
11,pressure_driven,0,3900.0,1650.0,0,3900.0,1650.0,0,6.666666666666667,491.33106728739136,579.9999926239252,340.0000096007716,87,0.32261290503741474,27.38267964856875,dripping,ok
12,pressure_driven,0,3900.0,1800.0,0,3900.0,1800.0,0,3.3333333333333335,499.5547525227555,599.999912083149,340.0000096007716,91,0.3389868165254163,28.000001712753576,dripping,ok
13,pressure_driven,0,3900.0,1950.0,0,3900.0,1950.0,0,10.0,508.6474962979411,620.0000643730164,340.0000096007716,97,0.3460408193226083,28.766596818083567,dripping,ok
14,pressure_driven,0,3900.0,2100.0,0,3900.0,2100.0,0,10.0,518.8090010090897,639.9999838322401,340.0000096007716,100,0.3192030666703547,29.430500115016887,dripping,ok
15,pressure_driven,0,4250.0,1500.0,0,4250.0,1500.0,0,6.666666666666667,468.51520520931246,539.9999208748341,320.0000101060141,81,0.34736142798542885,28.73948551251429,dripping,ok
16,pressure_driven,0,4250.0,1650.0,0,4250.0,1650.0,0,10.0,477.6657057153283,559.9999567493796,340.0000096007716,84,0.3243041769353073,29.4772370774194,dripping,ok
17,pressure_driven,0,4250.0,1800.0,0,4250.0,1800.0,0,10.0,486.12062237971065,579.9998762086034,340.0000096007716,89,0.32981094747421913,30.20050561102986,dripping,ok
18,pressure_driven,0,4250.0,1950.0,0,4250.0,1950.0,0,3.3333333333333335,495.4599723740752,599.999912083149,340.0000096007716,95,0.3298991686767265,30.98013095937891,dripping,ok
19,pressure_driven,0,4250.0,2100.0,0,4250.0,2100.0,0,10.0,503.6162401186281,619.9998315423727,340.0000096007716,99,0.30304375555944807,31.755775815408352,dripping,ok
20,pressure_driven,0,4600.0,1500.0,0,4600.0,1500.0,0,6.666666666666667,454.72420439754256,500.00008195638657,320.0000101060141,80,0.34981993191362853,30.857187602569745,dripping,ok
21,pressure_driven,0,4600.0,1650.0,0,4600.0,1650.0,0,10.0,464.4208261010399,539.9999208748341,340.0000096007716,84,0.3573921479220526,31.741200925511357,dripping,ok
22,pressure_driven,0,4600.0,1800.0,0,4600.0,1800.0,0,10.0,473.11250198968776,540.0001537054777,340.0000096007716,88,0.32989051103254463,32.35105241931903,dripping,ok
23,pressure_driven,0,4600.0,1950.0,0,4600.0,1950.0,0,6.666666666666667,481.38300462499274,560.0000731647015,340.0000096007716,94,0.3190078975724817,33.10535224646388,dripping,ok
24,pressure_driven,0,4600.0,2100.0,0,4600.0,2100.0,0,3.3333333333333335,490.29340812005535,579.9999926239252,340.0000096007716,98,0.3028068702985677,33.96569955592983,dripping,ok
