name,P_cont_nominal,P_disp_nominal,P_cont,P_disp,repeat,status,frequency_Hz,n_detections,n_free,L_um,w_um,d_eq_um,L_over_w,polydispersity,v_drop_mm_s
pc3.2k_pd1.5k,3200.0,1500.0,3200.0,1500.0,0,ok,6.666666666666667,82,82,619.9999479576945,340.0000096007716,512.6369495396485,1.5499998698942363,0.37482859000242724,22.24501863352008
pc3.2k_pd1.65k,3200.0,1650.0,3200.0,1650.0,0,ok,3.3333333333333335,88,88,639.9999838322401,340.0000096007716,522.2335215596702,1.5999999595806003,0.34709027707048057,23.079370774323774
pc3.2k_pd1.8k,3200.0,1800.0,3200.0,1800.0,0,ok,6.666666666666667,92,92,679.9998227506876,340.0000096007716,534.0464942499419,1.699999556876719,0.31994912586572355,23.999996483325937
pc3.2k_pd1.95k,3200.0,1950.0,3200.0,1950.0,0,ok,10.0,96,96,699.999975040555,340.0000096007716,543.7335445360462,1.7499999376013875,0.312915324499984,24.532840871673443
pc3.2k_pd2.1k,3200.0,2100.0,3200.0,2100.0,0,ok,10.0,103,103,719.9998944997787,340.0000096007716,554.630213753263,1.7999997362494469,0.3514158423771092,24.98458339843453
pc3.55k_pd1.5k,3550.0,1500.0,3550.0,1500.0,0,ok,6.666666666666667,82,82,580.0002254545689,340.0000096007716,495.7168205365719,1.4500005636364222,0.3715548811896218,24.55764381011402
pc3.55k_pd1.65k,3550.0,1650.0,3550.0,1650.0,0,ok,3.3333333333333335,88,88,619.9998315423727,340.0000096007716,506.6409894773496,1.5499995788559318,0.34342933281624893,25.25395872272272
pc3.55k_pd1.8k,3550.0,1800.0,3550.0,1800.0,0,ok,6.666666666666667,92,92,639.9999838322401,340.0000096007716,516.5955948093908,1.5999999595806003,0.3163063502743991,25.898301962801977
pc3.55k_pd1.95k,3550.0,1950.0,3550.0,1950.0,0,ok,10.0,96,96,659.9999032914639,340.0000096007716,527.0870993576184,1.6499997582286596,0.3309039053490075,26.590561169125227
pc3.55k_pd2.1k,3550.0,2100.0,3550.0,2100.0,0,ok,10.0,102,102,680.0000555813313,340.0000096007716,535.9504093591396,1.7000001389533281,0.33979224108453276,27.405388617395573
pc3.9k_pd1.5k,3900.0,1500.0,3900.0,1500.0,0,ok,6.666666666666667,81,81,559.9999567493796,340.0000096007716,480.85372133725525,1.399999891873449,0.34752469842091904,26.5920640798068
pc3.9k_pd1.65k,3900.0,1650.0,3900.0,1650.0,0,ok,6.666666666666667,87,87,579.9999926239252,340.0000096007716,491.33106728739136,1.449999981559813,0.32261290503741474,27.38267964856875
pc3.9k_pd1.8k,3900.0,1800.0,3900.0,1800.0,0,ok,3.3333333333333335,91,91,599.999912083149,340.0000096007716,499.5547525227555,1.4999997802078724,0.3389868165254163,28.000001712753576
pc3.9k_pd1.95k,3900.0,1950.0,3900.0,1950.0,0,ok,10.0,97,97,620.0000643730164,340.0000096007716,508.6474962979411,1.550000160932541,0.3460408193226083,28.766596818083567
pc3.9k_pd2.1k,3900.0,2100.0,3900.0,2100.0,0,ok,10.0,100,100,639.9999838322401,340.0000096007716,518.8090010090897,1.5999999595806003,0.3192030666703547,29.430500115016887
pc4.25k_pd1.5k,4250.0,1500.0,4250.0,1500.0,0,ok,6.666666666666667,81,81,539.9999208748341,320.0000101060141,468.51520520931246,1.3499998021870852,0.34736142798542885,28.73948551251429
pc4.25k_pd1.65k,4250.0,1650.0,4250.0,1650.0,0,ok,10.0,84,84,559.9999567493796,340.0000096007716,477.6657057153283,1.399999891873449,0.3243041769353073,29.4772370774194
pc4.25k_pd1.8k,4250.0,1800.0,4250.0,1800.0,0,ok,10.0,89,89,579.9998762086034,340.0000096007716,486.12062237971065,1.4499996905215085,0.32981094747421913,30.20050561102986
pc4.25k_pd1.95k,4250.0,1950.0,4250.0,1950.0,0,ok,3.3333333333333335,95,95,599.999912083149,340.0000096007716,495.4599723740752,1.4999997802078724,0.3298991686767265,30.98013095937891
pc4.25k_pd2.1k,4250.0,2100.0,4250.0,2100.0,0,ok,10.0,99,99,619.9998315423727,340.0000096007716,503.6162401186281,1.5499995788559318,0.30304375555944807,31.755775815408352
pc4.6k_pd1.5k,4600.0,1500.0,4600.0,1500.0,0,ok,6.666666666666667,80,80,500.00008195638657,320.0000101060141,454.72420439754256,1.2500002048909664,0.34981993191362853,30.857187602569745
pc4.6k_pd1.65k,4600.0,1650.0,4600.0,1650.0,0,ok,10.0,84,84,539.9999208748341,340.0000096007716,464.4208261010399,1.3499998021870852,0.3573921479220526,31.741200925511357
pc4.6k_pd1.8k,4600.0,1800.0,4600.0,1800.0,0,ok,10.0,88,88,540.0001537054777,340.0000096007716,473.11250198968776,1.3500003842636943,0.32989051103254463,32.35105241931903
pc4.6k_pd1.95k,4600.0,1950.0,4600.0,1950.0,0,ok,6.666666666666667,94,94,560.0000731647015,340.0000096007716,481.38300462499274,1.4000001829117537,0.3190078975724817,33.10535224646388
pc4.6k_pd2.1k,4600.0,2100.0,4600.0,2100.0,0,ok,3.3333333333333335,98,98,579.9999926239252,340.0000096007716,490.29340812005535,1.449999981559813,0.3028068702985677,33.96569955592983
