chain,segment,P_cont,P_disp,t0,t_measure,t1,n_frames,frequency_Hz,L_um,L_over_w,d_eq_um,n_droplet_obs
0,0,13000.0,3000.0,0.0,0.03,0.08,50,40.816326530612244,187.95288633555174,1.2530192422370117,169.8904027004308,63
0,1,13000.0,3600.0,0.08,0.095,0.145,50,61.22448979591838,210.50730720162392,1.403382048010826,179.52402618064258,73
0,2,10000.0,3600.0,0.145,0.16,0.21,50,40.81632653061226,285.68838024511933,1.9045892016341288,201.870312772034,55
0,3,16000.0,2400.0,0.21,0.225,0.275,50,40.81632653061223,157.88042219355702,1.0525361479570468,151.6243104835888,43
0,4,13000.0,2400.0,0.275,0.29,0.34,50,40.81632653061221,172.91668336838484,1.1527778891225655,162.56591986147833,51
0,5,16000.0,3600.0,0.34,0.355,0.405,50,61.224489795918316,187.95288633555174,1.2530192422370117,166.69868944849046,68
0,6,16000.0,3000.0,0.405,0.42,0.47,50,40.81632653061226,165.3985818848014,1.1026572125653427,158.09896841087092,61
0,7,10000.0,2400.0,0.47,0.485,0.535,50,0.0,195.4709878191352,1.3031399187942345,165.17901503839107,66
0,8,10000.0,3000.0,0.535,0.55,0.6,51,40.00000000000006,218.02536502946168,1.4535024335297446,184.44340347622037,76
1,0,16000.0,3000.0,0.0,0.03,0.08,50,40.816326530612244,165.3985818848014,1.1026572125653427,158.3253092116763,62
1,1,10000.0,2400.0,0.08,0.095,0.145,50,0.0,195.4709878191352,1.3031399187942345,172.71249075193242,66
1,2,10000.0,3000.0,0.145,0.16,0.21,50,40.81632653061226,218.02540868520737,1.4535027245680492,184.8312974976763,73
1,3,13000.0,3000.0,0.21,0.225,0.275,50,40.81632653061223,187.9529154393822,1.253019436262548,170.1010542416063,71
1,4,10000.0,3600.0,0.275,0.29,0.34,50,20.408163265306104,255.61597431078553,1.704106495405237,199.37137968424636,75
1,5,13000.0,3600.0,0.34,0.355,0.405,50,40.81632653061221,360.8696279115975,2.40579751941065,182.00031003450508,30
1,6,16000.0,3600.0,0.405,0.42,0.47,50,81.63265306122452,187.9529154393822,1.253019436262548,160.79403131110865,48
1,7,16000.0,2400.0,0.47,0.485,0.535,50,20.408163265306104,157.88048040121794,1.0525365360081196,153.03479955870117,47
1,8,13000.0,2400.0,0.535,0.55,0.6,51,40.00000000000006,172.91668336838484,1.1527778891225655,162.34534154457083,54
2,0,10000.0,3600.0,0.0,0.03,0.08,50,20.408163265306122,278.1703369691968,1.8544689131279786,197.20423510792992,51
2,1,16000.0,3000.0,0.08,0.095,0.145,50,40.81632653061226,172.91662516072392,1.152777501071493,157.64531189920893,61
2,2,16000.0,2400.0,0.145,0.16,0.21,50,40.81632653061226,157.88042219355702,1.0525361479570468,151.03267250674824,48
2,3,13000.0,3600.0,0.21,0.225,0.275,50,40.81632653061223,210.50730720162392,1.403382048010826,180.32014550147593,74
2,4,16000.0,3600.0,0.275,0.29,0.34,50,61.224489795918316,187.95288633555174,1.2530192422370117,166.69868944849046,68
2,5,13000.0,2400.0,0.34,0.355,0.405,50,40.81632653061221,172.91668336838484,1.1527778891225655,160.34799985186933,56
2,6,13000.0,3000.0,0.405,0.42,0.47,50,61.22448979591838,187.95288633555174,1.2530192422370117,170.1010542416063,64
2,7,10000.0,2400.0,0.47,0.485,0.535,50,20.408163265306104,195.4709878191352,1.3031399187942345,173.12667027896063,60
2,8,10000.0,3000.0,0.535,0.55,0.6,51,40.00000000000006,218.02535047754645,1.4535023365169764,183.86002804502607,73
3,0,16000.0,3000.0,0.0,0.03,0.08,50,40.816326530612244,165.3985818848014,1.1026572125653427,158.3253092116763,62
3,1,10000.0,2400.0,0.08,0.095,0.145,50,0.0,195.4709878191352,1.3031399187942345,172.71249075193242,66
3,2,10000.0,3600.0,0.145,0.16,0.21,50,40.81632653061226,259.3750541564077,1.7291670277093847,198.8318079785673,72
3,3,10000.0,3000.0,0.21,0.225,0.275,50,40.81632653061223,218.02529226988554,1.4535019484659035,168.408464332928,72
3,4,13000.0,3000.0,0.275,0.29,0.34,50,61.224489795918316,187.95294454321265,1.2530196302880843,169.46831409125375,65
3,5,16000.0,2400.0,0.34,0.355,0.405,50,40.81632653061221,157.88042219355702,1.0525361479570468,150.67664925946,46
3,6,13000.0,3600.0,0.405,0.42,0.47,50,61.22448979591838,210.507248993963,1.4033816599597533,179.72338662650276,74
3,7,13000.0,2400.0,0.47,0.485,0.535,50,40.81632653061221,172.91662516072392,1.152777501071493,160.5711704537475,55
3,8,16000.0,3600.0,0.535,0.55,0.6,51,60.00000000000008,187.95288633555174,1.2530192422370117,166.48373295746623,72
4,0,10000.0,2400.0,0.0,0.03,0.08,50,40.816326530612244,195.47101692296565,1.303140112819771,174.46599343804587,57
4,1,10000.0,3000.0,0.08,0.095,0.145,50,40.81632653061226,218.02535047754645,1.4535023365169764,184.54042791308942,72
4,2,10000.0,3600.0,0.145,0.16,0.21,50,40.81632653061226,285.68843845278025,1.9045895896852016,200.62473702896008,51
4,3,16000.0,3600.0,0.21,0.225,0.275,50,81.63265306122446,180.4347848519683,1.2028985656797886,162.34174494649645,58
4,4,16000.0,2400.0,0.275,0.29,0.34,50,20.408163265306104,157.8803639858961,1.0525357599059741,151.8603017711182,47
4,5,16000.0,3000.0,0.34,0.355,0.405,50,20.408163265306104,172.916566953063,1.15277711302042,157.64531189920893,61
4,6,13000.0,2400.0,0.405,0.42,0.47,50,40.81632653061226,172.9166688164696,1.1527777921097975,160.5711704537475,56
4,7,13000.0,3000.0,0.47,0.485,0.535,50,61.224489795918316,187.9529154393822,1.253019436262548,169.8904027004308,64
4,8,13000.0,3600.0,0.535,0.55,0.6,51,40.00000000000006,210.50727809779346,1.4033818539852898,179.92252617415846,74
5,0,10000.0,3000.0,0.0,0.03,0.08,50,40.816326530612244,218.02540868520737,1.4535027245680492,185.41161697112884,70
5,1,13000.0,3000.0,0.08,0.095,0.145,50,61.22448979591838,187.9529154393822,1.253019436262548,170.1010542416063,64
5,2,10000.0,3600.0,0.145,0.16,0.21,50,20.40816326530613,259.3749959487468,1.729166639658312,195.65463018430825,62
5,3,13000.0,2400.0,0.21,0.225,0.275,50,40.81632653061223,169.1575744189322,1.1277171627928813,160.12451821037192,56
5,4,10000.0,2400.0,0.275,0.29,0.34,50,20.408163265306104,195.4709878191352,1.3031399187942345,173.4366865584312,62
5,5,16000.0,3000.0,0.34,0.355,0.405,50,40.81632653061221,172.91662516072392,1.152777501071493,158.3253092116763,60
5,6,13000.0,3600.0,0.405,0.42,0.47,50,61.22448979591838,210.507248993963,1.4033816599597533,179.92252617415846,73
5,7,16000.0,2400.0,0.47,0.485,0.535,50,40.81632653061221,157.88042219355702,1.0525361479570468,151.6243104835888,47
5,8,16000.0,3600.0,0.535,0.55,0.6,51,60.00000000000008,187.95288633555174,1.2530192422370117,166.69868944849046,72
