chain,time,segment,P_cont,P_disp,phase,n_droplets,n_beyond_ref,lead_x_um,median_L_um
0,0.0,0,13000.0,3000.0,settle,0,0,,
0,0.001,0,13000.0,3000.0,settle,0,0,,
0,0.002,0,13000.0,3000.0,settle,0,0,,
0,0.003,0,13000.0,3000.0,settle,0,0,,
0,0.004,0,13000.0,3000.0,settle,0,0,,
0,0.005,0,13000.0,3000.0,settle,0,0,,
0,0.006,0,13000.0,3000.0,settle,0,0,,
0,0.007,0,13000.0,3000.0,settle,0,0,,
0,0.008,0,13000.0,3000.0,settle,0,0,,
0,0.009,0,13000.0,3000.0,settle,1,0,658.9936077178113,15.036261174827814
0,0.01,0,13000.0,3000.0,settle,1,0,665.663818446254,30.072464141994715
0,0.011,0,13000.0,3000.0,settle,1,0,672.6994061086705,45.10872531682253
0,0.012,0,13000.0,3000.0,settle,1,0,680.2010134149417,60.14492828398943
0,0.013,0,13000.0,3000.0,settle,1,0,689.5896047353745,82.6992909424007
0,0.014,0,13000.0,3000.0,settle,1,0,699.4595412503589,97.73552301339805
0,0.015,0,13000.0,3000.0,settle,1,0,710.5704735835442,120.28985656797886
0,0.016,0,13000.0,3000.0,settle,1,0,723.3525588784273,142.84421922639012
0,0.017,0,13000.0,3000.0,settle,1,0,737.6929756044748,172.91668336838484
0,0.018,0,13000.0,3000.0,settle,1,0,754.275334944663,195.4710460267961
0,0.019,0,13000.0,3000.0,settle,1,0,772.1404580337486,225.54351016879082
0,0.02,0,13000.0,3000.0,settle,1,0,791.4331769408413,248.09784372337162
0,0.021,0,13000.0,3000.0,settle,1,0,811.3165784743614,278.17030786536634
0,0.022,0,13000.0,3000.0,settle,1,0,850.4930344072521,225.54348106496036
0,0.023,0,13000.0,3000.0,settle,1,0,882.8443635824754,202.9891184065491
0,0.024,0,13000.0,3000.0,settle,1,0,913.9652022548447,195.4710460267961
0,0.025,0,13000.0,3000.0,settle,1,0,943.6942536855249,195.4709878191352
0,0.026,0,13000.0,3000.0,settle,1,0,972.4622088532637,195.4710460267961
0,0.027,0,13000.0,3000.0,settle,1,1,1001.530178237354,195.4709878191352
0,0.028,0,13000.0,3000.0,settle,1,1,1030.4925076614418,187.95288633555174
