counter,config,intervention,P_cont,P_disp,P_out,P_cont_meas,P_disp_meas,P_out_meas,f_droplet,d_droplet,L_droplet,w_droplet,n_droplets,polydispersity,v_droplet,regime,status
0,pressure_driven,0,10000.0,2400.0,0,10025.1,2393.7,0,16.666666666666668,174.26061844815345,195.4709878191352,127.49999450534233,47,0.10480701568485036,21.11665907334837,dripping,ok
1,pressure_driven,0,10000.0,2400.0,0,10128.1,2405.0,0,16.666666666666668,173.5398613043556,195.4709878191352,127.49999450534233,48,0.11731467503315111,21.646172176744052,dripping,ok
2,pressure_driven,0,10000.0,2400.0,0,9892.9,2417.4,0,16.666666666666668,175.4892631709445,195.4710460267961,127.49999450534233,49,0.11474155755794983,21.108009626706668,dripping,ok
3,pressure_driven,0,10000.0,2700.0,0,10260.8,2751.1,0,33.333333333333336,179.52402618064258,210.5071907863021,127.49999450534233,52,0.10375734043183231,22.987098776027302,dripping,ok
4,pressure_driven,0,10000.0,2700.0,0,9859.3,2631.7,0,16.666666666666668,179.52402618064258,210.50721989013255,127.49999450534233,51,0.10620110316375528,22.554344545078095,dripping,ok
5,pressure_driven,0,10000.0,2700.0,0,9875.3,2702.2,0,16.666666666666668,180.51862673437554,210.507248993963,127.49999450534233,53,0.11366004745772189,22.554345503579135,dripping,ok
6,pressure_driven,0,10000.0,3000.0,0,9535.0,2986.9,0,33.333333333333336,188.00086413830388,225.54351016879082,127.49999450534233,56,0.11007089777273582,22.983748584465367,dripping,ok
7,pressure_driven,0,10000.0,3000.0,0,9750.8,2956.1,0,33.333333333333336,186.08634416645674,225.543393753469,127.49999450534233,56,0.11247010645257699,22.886300057155328,dripping,ok
8,pressure_driven,0,10000.0,3000.0,0,9891.1,2981.0,0,33.333333333333336,185.79748964028354,225.5434519611299,127.49999450534233,56,0.1144399699708477,23.056846969345123,dripping,ok
9,pressure_driven,0,10000.0,3300.0,0,10082.3,3368.8,0,33.333333333333336,192.42504387508546,240.5796549282968,127.49999450534233,63,0.12458436110356892,25.966689936691385,dripping,ok
10,pressure_driven,0,10000.0,3300.0,0,9974.3,3390.2,0,33.333333333333336,193.53840925427872,240.57971313595772,127.49999450534233,64,0.13240573121764249,25.623050974677632,dripping,ok
11,pressure_driven,0,10000.0,3300.0,0,9867.0,3323.2,0,33.333333333333336,192.79688005543886,233.06164075620472,127.49999450534233,63,0.13456636908237551,25.240501542311026,dripping,ok
12,pressure_driven,0,10000.0,3600.0,0,10180.7,3606.8,0,33.333333333333336,193.7233480535272,278.1702787615359,120.00000060652383,59,0.18399269330238202,21.62807048724382,dripping,ok
13,pressure_driven,0,10000.0,3600.0,0,9851.3,3533.6,0,33.333333333333336,185.121659366322,225.54351016879082,127.49999450534233,68,0.17192395998039314,23.304278628823933,dripping,ok
14,pressure_driven,0,10000.0,3600.0,0,9908.5,3615.9,0,33.333333333333336,194.64540632397362,285.68838024511933,127.49999450534233,57,0.18463607853359668,20.71789794728691,dripping,ok
15,pressure_driven,0,11500.0,2400.0,0,11267.8,2390.0,0,16.666666666666668,168.19569297275044,187.95288633555174,127.49999450534233,45,0.10404515588426562,23.214613487951546,dripping,ok
16,pressure_driven,0,11500.0,2400.0,0,11463.4,2426.0,0,16.666666666666668,167.9826521108426,180.43479940388352,127.49999450534233,46,0.10427865441922979,23.593313913738147,dripping,ok
17,pressure_driven,0,11500.0,2400.0,0,11549.4,2417.1,0,16.666666666666668,167.12777301402352,180.4347848519683,127.49999450534233,46,0.10525495802665877,23.688942538218473,dripping,ok
18,pressure_driven,0,11500.0,2700.0,0,11349.6,2693.0,0,16.666666666666668,172.6088217525457,195.4709878191352,127.49999450534233,51,0.10410952386962583,24.468155056749744,dripping,ok
19,pressure_driven,0,11500.0,2700.0,0,11680.3,2780.6,0,33.333333333333336,172.2973155945765,195.4709878191352,127.49999450534233,52,0.10405610614900482,25.454263738127086,dripping,ok
20,pressure_driven,0,11500.0,2700.0,0,11210.4,2781.8,0,33.333333333333336,174.773573396087,202.98908930271864,127.49999450534233,52,0.10094891384997104,24.53231668559258,dripping,ok
21,pressure_driven,0,11500.0,3000.0,0,11809.6,3046.9,0,33.333333333333336,176.30360287256306,202.98914751037955,127.49999450534233,57,0.11251179098674313,27.373784938936726,dripping,ok
22,pressure_driven,0,11500.0,3000.0,0,11560.8,2981.2,0,33.333333333333336,176.405101813998,202.98914751037955,127.49999450534233,54,0.10463138491004313,26.578868890602653,dripping,ok
23,pressure_driven,0,11500.0,3000.0,0,11835.3,3117.6,0,33.333333333333336,177.114198424101,202.98914751037955,127.49999450534233,59,0.11448565191671745,27.66916554850397,dripping,ok
