name,P_cont_nominal,P_disp_nominal,P_cont,P_disp,repeat,status,frequency_Hz,n_detections,n_free,L_um,w_um,d_eq_um,L_over_w,polydispersity,v_drop_mm_s
pc10k_pd2.4k_r0,10000.0,2400.0,10025.1,2393.7,0,ok,16.666666666666668,67,47,195.4709878191352,127.49999450534233,174.26061844815345,1.3031399187942345,0.10480701568485036,21.11665907334837
pc10k_pd2.4k_r1,10000.0,2400.0,10128.1,2405.0,1,ok,16.666666666666668,67,48,195.4709878191352,127.49999450534233,173.5398613043556,1.3031399187942345,0.11731467503315111,21.646172176744052
pc10k_pd2.4k_r2,10000.0,2400.0,9892.9,2417.4,2,ok,16.666666666666668,68,49,195.4710460267961,127.49999450534233,175.4892631709445,1.3031403068453074,0.11474155755794983,21.108009626706668
pc10k_pd2.7k_r0,10000.0,2700.0,10260.8,2751.1,0,ok,33.333333333333336,75,52,210.5071907863021,127.49999450534233,179.52402618064258,1.4033812719086807,0.10375734043183231,22.987098776027302
pc10k_pd2.7k_r1,10000.0,2700.0,9859.3,2631.7,1,ok,16.666666666666668,74,51,210.50721989013255,127.49999450534233,179.52402618064258,1.403381465934217,0.10620110316375528,22.554344545078095
pc10k_pd2.7k_r2,10000.0,2700.0,9875.3,2702.2,2,ok,16.666666666666668,75,53,210.507248993963,127.49999450534233,180.51862673437554,1.4033816599597533,0.11366004745772189,22.554345503579135
pc10k_pd3k_r0,10000.0,3000.0,9535.0,2986.9,0,ok,33.333333333333336,82,56,225.54351016879082,127.49999450534233,188.00086413830388,1.503623401125272,0.11007089777273582,22.983748584465367
pc10k_pd3k_r1,10000.0,3000.0,9750.8,2956.1,1,ok,33.333333333333336,82,56,225.543393753469,127.49999450534233,186.08634416645674,1.5036226250231266,0.11247010645257699,22.886300057155328
pc10k_pd3k_r2,10000.0,3000.0,9891.1,2981.0,2,ok,33.333333333333336,82,56,225.5434519611299,127.49999450534233,185.79748964028354,1.5036230130741994,0.1144399699708477,23.056846969345123
pc10k_pd3.3k_r0,10000.0,3300.0,10082.3,3368.8,0,ok,33.333333333333336,89,63,240.5796549282968,127.49999450534233,192.42504387508546,1.6038643661886454,0.12458436110356892,25.966689936691385
