time,Q_oil_inlet_uL_s,Q_water_inlet_uL_s
0.0,0.0,0.0
0.0075,7.275655428065268,2.0092124662862205
0.015,7.250114553095069,1.9967098195880217
0.0225,7.214293022176567,1.987805557092627
0.03,7.168776495660496,1.9751709457239637
0.0375,7.119918498218244,1.9696494178479316
0.045,7.045646519445247,1.9468417921902494
0.0525,6.9950768786623545,1.9392619373200268
0.06,6.962934902745808,1.9515974153579272
0.0675,6.933168416921069,1.9610460321189864
0.075,6.916758569561439,1.9798277294992304
0.0825,6.9108104859348005,2.000980432358612
0.09,6.913412572405246,2.0236764110771057
0.0975,6.932625311494355,2.046400016545717
0.105,6.956836565128736,2.057734024891858
0.1125,6.9743380967216675,2.0503362919957104
0.12,7.148936698053591,1.9761729518574729
0.1275,7.2726531224864015,2.013359831564782
0.135,7.248674307405893,1.9923686647273253
0.1425,7.217670878947868,1.9613569001130273
0.15,7.200163815293603,1.9541825281504752
0.1575,7.164100022224608,1.9470554301171294
0.165,7.13232809057242,1.9421399473079954
0.1725,7.081357610404842,1.9303552608367576
0.18,7.016425770957482,1.9168261328502123
0.1875,6.94707187399114,1.8919424105653753
0.195,6.916369355881432,1.9024892576988237
0.2025,6.880732754890537,1.9087718623074619
0.21,7.355052622183525,2.280584936493785
0.2175,7.27581773528424,2.2822658767169535
0.225,7.365089272587877,2.363772567968947
0.2325,6.9551455915301075,2.1144457749686154
0.24,6.946377994897812,2.0506462882719076
0.2475,6.9654244202482065,2.0442669900378583
0.255,7.109218126903429,1.9646367720268554
0.2625,7.272386787494264,2.0137824135532294
0.27,7.237858668087468,1.9851868496354943
0.2775,7.210962715941529,1.955792456897007
0.285,7.190290134280077,1.9458952407226315
0.2925,7.161226772798229,1.9438412052624392
0.3,7.125463135686447,1.936416918499674
0.3075,7.0716578455090735,1.9215710271828927
0.315,7.015123206413318,1.9117277234043781
0.3225,6.954522782606636,1.8959140911708594
0.33,6.960413416665744,1.9315497825032457
0.3375,6.879376923350443,1.9069336105411485
0.345,7.357500640899964,2.2817008694439194
0.3525,7.3122257060417155,2.3037250219259393
0.36,7.343756750165071,2.3492204455654297
0.3675,7.187190045245386,2.2820268248621742
0.375,6.94925700268829,2.0549019477287205
0.3825,6.9677502391825605,2.0466347768664965
0.39,7.106108985587821,1.9709879741242557
0.3975,7.279469764065608,2.019066297734076
0.405,7.244474076938348,1.99049245970721
0.4125,7.218153307774316,1.9607470999538803
0.42,7.19643867950029,1.950373657616072
0.4275,7.1752322460279085,1.9547529668962267
0.435,7.148897621575807,1.9530783969188377
0.4425,7.0818681856707135,1.9300421800204985
0.45,7.023137823168794,1.9189364946941394
