name,mode,U_oil,U_water,Ca,q_ratio,endTime,status,frequency_Hz,n_detections,n_free_frames,L_um,w_um,d_eq_um,L_over_w,U_oil_meas,U_water_meas,P_cont,P_disp
uo10_uw5,velocity,0.01,0.005,0.016,0.25,0.1,ok,10.0,46,29,187.95288633555174,142.50000049287337,173.4366865584312,1.2530192422370117,0.01,0.005,,
uo10_uw10,velocity,0.01,0.01,0.016,0.5,0.1,ok,20.0,71,48,218.02540868520737,135.0000006823393,188.096102695743,1.4535027245680492,0.01,0.01,,
uo10_uw15,velocity,0.01,0.015,0.016,0.75,0.1,ok,30.0,84,58,255.61591610312462,127.49999450534233,202.4017844581734,1.7041061073541641,0.01,0.015,,
uo20_uw5,velocity,0.02,0.005,0.032,0.125,0.1,ok,20.0,47,28,150.36232070997357,127.49999450534233,148.03930445578794,1.002415471399824,0.02,0.005,,
uo20_uw10,velocity,0.02,0.01,0.032,0.25,0.1,ok,30.0,70,46,165.3985818848014,127.49999450534233,158.5513268987815,1.1026572125653427,0.02,0.01,,
uo20_uw15,velocity,0.02,0.015,0.032,0.375,0.092,ok,43.47826086956522,76,49,187.95288633555174,127.49999450534233,168.408464332928,1.2530192422370117,0.02,0.015,,
uo30_uw5,velocity,0.03,0.005,0.048,0.08333333333333334,0.1,ok,20.0,46,24,127.80795805156231,119.99999424006091,132.32915138383424,0.8520530536770821,0.03,0.005,,
uo30_uw10,velocity,0.03,0.01,0.048,0.16666666666666669,0.1,ok,40.0,67,42,142.84421922639012,123.74999437270162,141.35735957206822,0.9522947948426008,0.03,0.01,,
uo30_uw15,velocity,0.03,0.015,0.048,0.25,0.085,ok,11.904761904761903,67,42,157.88045129738748,123.74999437270162,149.4836245550046,1.0525363419825833,0.03,0.015,,
pilot_p850_650,pressure,,,,,0.06,ok,0.0,0,0,,,,,0.014805205097999999,,850.0,650.0
pilot_p850_1500,pressure,,,0.014679583367999998,,0.06,ok,16.666666666666668,29,4,270.65219182986766,127.50000041705789,201.27003941309104,1.8043479455324511,0.009174739605,,850.0,1500.0
