name,P_cont_Pa,P_disp_Pa,P_cont_cmH2O,P_disp_cmH2O,verdict,n_droplets,L_um,L_over_w,period_ms,f_Hz
pc1.21k_pd0.58k,1210.0,580.0,12.33,5.91,drips,2,977.4436475709081,1.6290727459515135,229.99999999999997,4.347826086956522
pc1.21k_pd0.705k,1210.0,705.0,12.33,7.19,drips,2,1052.6315309107304,1.7543858848512173,185.0,5.405405405405405
pc1.21k_pd0.83k,1210.0,830.0,12.33,8.46,drips,2,1135.3383597452193,1.8922305995753657,159.99999999999997,6.250000000000001
pc1.21k_pd0.955k,1210.0,955.0,12.33,9.73,drips,3,1203.0075304210186,2.005012550701698,142.50000000000003,7.0175438596491215
pc1.21k_pd1.08k,1210.0,1080.0,12.33,11.01,drips,3,1323.3080971986055,2.2055134953310094,185.0,5.405405405405405
pc1.47k_pd0.58k,1470.0,580.0,14.98,5.91,drips,2,872.1803314983845,1.4536338858306408,219.99999999999997,4.545454545454546
pc1.47k_pd0.705k,1470.0,705.0,14.98,7.19,drips,2,932.3308477178216,1.5538847461963694,170.0,5.882352941176471
pc1.47k_pd0.83k,1470.0,830.0,14.98,8.46,drips,2,1007.5187310576439,1.6791978850960732,145.00000000000003,6.89655172413793
pc1.47k_pd0.955k,1470.0,955.0,14.98,9.73,drips,3,1082.706730812788,1.8045112180213134,130.0,7.6923076923076925
pc1.47k_pd1.08k,1470.0,1080.0,14.98,11.01,drips,3,1172.932330518961,1.9548872175316017,117.50000000000001,8.51063829787234
pc1.73k_pd0.58k,1730.0,580.0,17.64,5.91,drips,2,812.0299899019301,1.3533833165032167,210.00000000000003,4.761904761904761
pc1.73k_pd0.705k,1730.0,705.0,17.64,7.19,drips,2,872.1803897060454,1.453633982843409,164.99999999999997,6.060606060606061
pc1.73k_pd0.83k,1730.0,830.0,17.64,8.46,drips,3,932.3307313024998,1.5538845521708329,137.5,7.2727272727272725
pc1.73k_pd0.955k,1730.0,955.0,17.64,9.73,drips,3,992.4811311066151,1.6541352185110252,120.00000000000001,8.333333333333332
pc1.73k_pd1.08k,1730.0,1080.0,17.64,11.01,drips,4,1052.6315309107304,1.7543858848512173,104.99999999999999,9.523809523809526
pc1.99k_pd0.58k,1990.0,580.0,20.29,5.91,drips,2,751.8796483054757,1.253132747175793,205.00000000000003,4.878048780487804
pc1.99k_pd0.705k,1990.0,705.0,20.29,7.19,drips,2,812.0299316942692,1.3533832194904487,154.99999999999997,6.451612903225808
pc1.99k_pd0.83k,1990.0,830.0,20.29,8.46,drips,3,872.1803314983845,1.4536338858306408,130.0,7.6923076923076925
pc1.99k_pd0.955k,1990.0,955.0,20.29,9.73,drips,3,932.3307313024998,1.5538845521708329,110.0,9.090909090909092
pc1.99k_pd1.08k,1990.0,1080.0,20.29,11.01,drips,4,962.4059312045574,1.604009885340929,100.00000000000003,9.999999999999996
pc2.25k_pd0.58k,2250.0,580.0,22.94,5.91,drips,2,691.7294813320041,1.1528824688866735,195.0,5.128205128205129
pc2.25k_pd0.705k,2250.0,705.0,22.94,7.19,drips,3,751.8797647207975,1.2531329412013292,150.0,6.666666666666667
pc2.25k_pd0.83k,2250.0,830.0,22.94,8.46,drips,3,812.0299316942692,1.3533832194904487,87.5,11.428571428571429
pc2.25k_pd0.955k,2250.0,955.0,22.94,9.73,drips,4,857.1427315473557,1.4285712192455928,104.99999999999999,9.523809523809526
pc2.25k_pd1.08k,2250.0,1080.0,22.94,11.01,drips,4,902.2555314004421,1.503759219000737,95.0,10.526315789473685
